#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          52.1          1.2       0.0806       0.0047  # 2018,A.S.Voyles+         ## C2327016  #dY:5.8%   
          52.2         0.07        0.094       0.0042  # 2021,M.B.Fox+            ## C2702041  #dY:4.5%   
          52.4         0.34       0.0725     0.002175  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          52.4         0.34       0.0745     0.002235  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          52.4         1.18       0.0874      0.00639  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
         53.04        0.305       0.0797       0.0051  # 2021,A.S.Voyles+         ## C2921028  #dY:6.4%   
         53.24        0.385       0.0936       0.0045  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
          53.5        0.789       0.0728      0.00385  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
         53.73        0.165       0.0897       0.0033  # 2020,J.T.Morrell+        ## C3074010  #dY:3.7%   
          53.9            0       0.0804       0.0067  # 1992,S.J.Mills+          ## A0507009  #dY:8.3%   
          54.5         1.17        0.082      0.00586  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
            55        0.778       0.0703      0.00371  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          55.2         0.65       0.0911       0.0042  # 2021,M.B.Fox+            ## C2702041  #dY:4.6%   
         55.21        0.375       0.0942       0.0045  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
          55.4         0.16       0.0832       0.0027  # 2020,J.T.Morrell+        ## C3074010  #dY:3.2%   
          55.5         0.34       0.0708     0.002124  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          55.5         0.34       0.0686     0.002058  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          55.8            0       0.0794       0.0067  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
          56.5        0.764       0.0694      0.00365  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          57.1         1.15       0.0757      0.00557  # 1997,R.Michel+           ## O0276137  #dY:7.4%   
         57.11        0.365       0.0919       0.0044  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
          57.6            0       0.0766       0.0066  # 1992,S.J.Mills+          ## A0507009  #dY:8.6%   
          58.5         0.34       0.0675     0.002025  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          58.6          1.4       0.0854       0.0091  # 2016,S.A.Graves+         ## C2243008  #dY:10.7%  
          59.4            0       0.0718        0.006  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
          59.5        0.727       0.0687      0.00365  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          60.6         1.12        0.075      0.00536  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
          60.7         0.34       0.0681     0.002043  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          60.9        0.712       0.0688      0.00363  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          61.1            0       0.0739       0.0063  # 1992,S.J.Mills+          ## A0507009  #dY:8.5%   
         61.58         0.98       0.0722        0.004  # 2018,A.S.Voyles+         ## C2327016  #dY:5.5%   
          62.3        0.692        0.069      0.00367  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
