#ZVView-data-copy:  15-Feb-2026 22:44:16
#=======================================
#
#name:   29-CU-0(P,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          57.3        0.737      0.00224     0.000135  # 1997,R.Michel+           ## O0276134  #dY:6.0%   
          57.5        0.756      0.00226     0.000118  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          57.6            0      0.00231       0.0002  # 1992,S.J.Mills+          ## A0507011  #dY:8.7%   
          57.6          1.4      0.00238     0.000252  # 1997,R.Michel+           ## O0276134  #dY:10.6%  
            58        0.741      0.00234      0.00013  # 1997,R.Michel+           ## O0276134  #dY:5.6%   
          58.4        0.727      0.00221     0.000142  # 1997,R.Michel+           ## O0276134  #dY:6.4%   
          58.5         0.34     0.001913     5.739e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          58.6          1.4      0.00209      0.00025  # 2016,S.A.Graves+         ## C2243013  #dY:12.0%  
          58.7        0.723      0.00212      0.00014  # 1997,R.Michel+           ## O0276134  #dY:6.6%   
          58.8        0.724      0.00229     0.000134  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          59.4            0       0.0022      0.00019  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
          59.5        0.723      0.00213      0.00012  # 1997,R.Michel+           ## O0276134  #dY:5.6%   
          59.5        0.727      0.00222     0.000115  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
         59.73        0.355      0.00261      0.00012  # 2021,M.B.Fox+            ## C2702037  #dY:4.6%   
          59.8         1.13      0.00223     0.000164  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
          60.6        0.709      0.00208     0.000115  # 1997,R.Michel+           ## O0276134  #dY:5.5%   
          60.6         1.12      0.00223     0.000165  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
          60.7         0.34     0.001843     5.529e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          60.9        0.699      0.00208     0.000127  # 1997,R.Michel+           ## O0276134  #dY:6.1%   
          60.9        0.712      0.00214     0.000112  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          61.1            0      0.00191      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.9%   
         61.58         0.98      0.00213      0.00011  # 2018,A.S.Voyles+         ## C2327009  #dY:5.2%   
          61.7        0.709      0.00201     0.000105  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          62.3        0.686      0.00198     0.000137  # 1997,R.Michel+           ## O0276134  #dY:6.9%   
          62.3        0.692        0.002     0.000105  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          62.4         1.11      0.00209     0.000157  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
          62.6        0.692      0.00185      9.81e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
         62.73         0.34      0.00232       0.0001  # 2021,M.B.Fox+            ## C2702037  #dY:4.3%   
          62.8            0      0.00175      0.00016  # 1992,S.J.Mills+          ## A0507011  #dY:9.1%   
          63.1        0.673      0.00192     0.000113  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          63.3        0.673      0.00183     0.000105  # 1997,R.Michel+           ## O0276134  #dY:5.7%   
          63.6        0.684      0.00186      9.78e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          63.6        0.681      0.00186      9.79e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          63.8          1.1      0.00191     0.000146  # 1997,R.Michel+           ## O0276134  #dY:7.6%   
            64        0.673      0.00177       0.0001  # 1997,R.Michel+           ## O0276134  #dY:5.6%   
          64.2         1.09      0.00186     0.000139  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
          64.5            0      0.00161      0.00015  # 1992,S.J.Mills+          ## A0507011  #dY:9.3%   
          64.9        0.663      0.00175      9.08e-5  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          65.1         0.34     0.001438     4.314e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          65.1         0.34     0.001481     4.443e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          65.5        0.659      0.00164      8.62e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          65.5        0.648      0.00165      9.28e-5  # 1997,R.Michel+           ## O0276134  #dY:5.6%   
          65.8            0       0.0016      0.00013  # 1992,S.J.Mills+          ## A0507011  #dY:8.1%   
          65.8         0.64      0.00161     0.000103  # 1997,R.Michel+           ## O0276134  #dY:6.4%   
            66        0.641      0.00164      9.66e-5  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
            66         1.08      0.00179     0.000133  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
          66.2        0.641      0.00162      8.45e-5  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
         66.81        0.325      0.00178      0.00011  # 2021,M.B.Fox+            ## C2702037  #dY:6.2%   
          66.9        0.632      0.00147      8.49e-5  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
          67.4        0.629      0.00147      7.79e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          67.4         1.07      0.00156     0.000116  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
          67.5        0.622      0.00151       7.9e-5  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          67.6         0.34     0.001277     3.831e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          67.7         1.07      0.00162     0.000122  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
          68.3         0.61      0.00152      8.96e-5  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          68.5            0      0.00146      0.00012  # 1992,S.J.Mills+          ## A0507011  #dY:8.2%   
          68.5        0.602      0.00133      8.01e-5  # 1997,R.Michel+           ## O0276134  #dY:6.0%   
          68.5        0.601       0.0014      8.83e-5  # 1997,R.Michel+           ## O0276134  #dY:6.3%   
          68.8        0.604      0.00142      7.45e-5  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          69.1          1.1      0.00135      0.00016  # 2016,S.A.Graves+         ## C2243013  #dY:11.9%  
          69.2        0.597      0.00135      7.22e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          69.4         1.05      0.00147     0.000111  # 1997,R.Michel+           ## O0276134  #dY:7.6%   
          69.6        0.588      0.00137       8.1e-5  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          69.7         0.34     0.001195     3.585e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          69.7         0.34     0.001145     3.435e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          69.8         0.34      0.00119      3.57e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
            70        0.582      0.00138      7.27e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
         70.17         0.85       0.0014       7.1e-5  # 2018,A.S.Voyles+         ## C2327009  #dY:5.1%   
          71.2            0      0.00126      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.7%   
          71.4         0.55      0.00131      7.77e-5  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          71.4        0.547      0.00129      7.82e-5  # 1997,R.Michel+           ## O0276134  #dY:6.1%   
          71.4        0.549      0.00121      8.63e-5  # 1997,R.Michel+           ## O0276134  #dY:7.1%   
          71.4         0.55      0.00131      7.01e-5  # 1997,R.Michel+           ## O0276134  #dY:5.4%   
          71.4         1.02      0.00131      9.51e-5  # 1997,R.Michel+           ## O0276134  #dY:7.3%   
          71.4         1.03      0.00131      9.96e-5  # 1997,R.Michel+           ## O0276134  #dY:7.6%   
          71.5        0.547      0.00125      8.24e-5  # 1997,R.Michel+           ## O0276134  #dY:6.6%   
          71.5        0.548      0.00127      9.13e-5  # 1997,R.Michel+           ## O0276134  #dY:7.2%   
         72.22        0.305     0.001391       8.9e-5  # 2021,M.B.Fox+            ## C2702037  #dY:6.4%   
          73.7            0      0.00124      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.9%   
            74         1.04      0.00121     0.000132  # 1997,R.Michel+           ## O0276134  #dY:10.9%  
          76.2            0      0.00123      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.9%   
          78.6            0       0.0012       0.0001  # 1992,S.J.Mills+          ## A0507011  #dY:8.3%   
          78.6          0.9     0.000985       8.6e-5  # 2016,S.A.Graves+         ## C2243013  #dY:8.7%   
         79.03        0.285     0.001286       8.3e-5  # 2021,M.B.Fox+            ## C2702037  #dY:6.5%   
         79.95         0.64     0.001202       6.5e-5  # 2018,A.S.Voyles+         ## C2327009  #dY:5.4%   
            80            0       0.0012         6e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
            81            0      0.00125      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.8%   
          83.3            0      0.00133      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.3%   
          84.9        0.766      0.00141     0.000146  # 1997,R.Michel+           ## O0276134  #dY:10.4%  
          85.6            0      0.00134      0.00011  # 1992,S.J.Mills+          ## A0507011  #dY:8.2%   
          87.9            0      0.00142      0.00012  # 1992,S.J.Mills+          ## A0507011  #dY:8.5%   
          88.1        0.791      0.00154     0.000164  # 1997,R.Michel+           ## O0276134  #dY:10.6%  
          89.4          0.6      0.00131         9e-5  # 2016,S.A.Graves+         ## C2243013  #dY:6.9%   
         89.74         0.43     0.001465       9.3e-5  # 2018,A.S.Voyles+         ## C2327009  #dY:6.3%   
          90.1            0      0.00155      0.00013  # 1992,S.J.Mills+          ## A0507011  #dY:8.4%   
         90.94         0.26      0.00176      0.00011  # 2021,M.B.Fox+            ## C2702037  #dY:6.2%   
          92.2            0      0.00168      0.00014  # 1992,S.J.Mills+          ## A0507011  #dY:8.3%   
          94.3            0      0.00174      0.00015  # 1992,S.J.Mills+          ## A0507011  #dY:8.6%   
          96.4            0      0.00189      0.00016  # 1992,S.J.Mills+          ## A0507011  #dY:8.5%   
          99.7            0      0.00197      0.00019  # 1992,S.J.Mills+          ## A0507011  #dY:9.6%   
          99.9          1.5      0.00193      0.00014  # 1997,R.Michel+           ## O0276134  #dY:7.3%   
          99.9          1.7      0.00225     0.000198  # 1997,R.Michel+           ## O0276134  #dY:8.8%   
           100            0      0.00174       8.7e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
           101         1.69      0.00212     0.000227  # 1997,R.Michel+           ## O0276134  #dY:10.7%  
         105.4            0      0.00189      0.00018  # 1992,S.J.Mills+          ## A0507011  #dY:9.5%   
           111          1.4      0.00182      0.00013  # 1997,R.Michel+           ## O0276134  #dY:7.1%   
